name,type,pop_2020,LA_sqmi,PD_sqmi
Dieterich,Village,890,1.366,651.5
Wyanet,Village,886,0.946,936.6
Annawan,Town,884,2.135,414.1
Mendon,Village,872,0.857,1017.5
Viola,Village,869,0.838,1037.0
Glasford,Village,866,0.908,953.7
Albany,Village,864,1.071,806.7
Shabbona,Village,863,1.283,672.6
Hanover,Village,863,1.122,769.2
Ridgway,Village,851,0.88,967.0
Clay City,Village,847,1.782,475.3
Illiopolis,Village,846,0.677,1249.6
Ringwood,Village,844,3.864,218.4
Essex,Village,841,2.327,361.4
Elkville,Village,838,0.767,1092.6
Stonington,Village,837,0.457,1831.5
Coulterville,Village,834,0.569,1465.7
Stronghurst,Village,833,0.873,954.2
Paw Paw,Village,830,0.572,1451.0
Hopedale,Village,830,0.882,941.0
Galatia,Village,827,1.952,423.7
Meredosia,Village,826,0.864,956.0
Sheffield,Village,821,1.169,702.3
Cissna Park,Village,817,0.725,1126.9
Loami,Village,812,1.012,802.4
Pleasant Plains,Village,808,1.335,605.2
Dallas City,City,805,2.374,339.1
Spaulding,Village,801,0.75,1068.0
Shannon,Village,801,0.482,1661.8
Hardin,Village,801,2.128,376.4
New Milford,Village,794,2.543,312.2
Enfield,Village,794,1.011,785.4
Alexis,Village,793,0.475,1669.5
Forest View,Village,792,1.168,678.1
Pearl City,Village,790,0.641,1232.4
Ridge Farm,Village,787,3.056,257.5
West Salem,Village,786,1.56,503.8
Witt,City,785,1.237,634.6
Newman,City,778,0.613,1269.2
Brimfield,Village,778,0.821,947.6
Hennepin,Village,769,5.307,144.9
Orangeville,Village,766,0.676,1133.1
Hurst,City,764,0.887,861.3
Livingston,Village,763,1.04,733.7
East Galesburg,Village,763,1.365,559.0
Woodhull,Village,754,0.882,854.9
Tilden,Village,750,0.975,769.2
Ashkum,Village,750,0.835,898.2
Tonica,Village,749,1.363,549.5
Piper City,Village,745,0.555,1342.3
Greenview,Village,745,0.859,867.3
Wataga,Village,744,0.829,897.5
McLean,Village,743,1.177,631.3
Tiskilwa,Village,740,0.517,1431.3
Oakland,City,739,0.783,943.8
Kinmundy,City,733,1.198,611.9
Ogden,Village,729,0.588,1239.8
Brookport,City,725,0.653,1110.3
Taylor Springs,Village,724,1.05,689.5
Braceville,Village,724,3.111,232.7
Stewardson,Village,721,0.61,1182.0
South Wilmington,Village,710,0.492,1443.1
Matherville,Village,707,0.391,1808.2
Avon,Village,704,0.444,1585.6
Pocahontas,Village,697,0.783,890.2
Oneida,City,696,0.763,912.2
Elizabeth,Village,694,0.9,771.1
Sherrard,Village,692,0.928,745.7
Brownstown,Village,690,0.76,907.9
Tampico,Village,689,0.394,1748.7
Potomac,Village,689,0.488,1411.9
Farmersville,Village,689,0.703,980.1
La Moille,Village,679,1.156,587.4
Kirkwood,Village,678,0.939,722.0
Bradford,Village,676,0.398,1698.5
Alpha,Village,675,0.309,2184.5
Cordova,Village,671,0.574,1169.0
Kansas,Village,670,1.022,655.6
Windsor,Village,668,0.438,1525.1
Watson,Village,668,1.092,611.7
Deer Creek,Village,667,0.535,1246.7
Findlay,Village,664,0.924,718.6
Aroma Park,Village,664,1.882,352.8
Dalzell,Village,663,0.82,808.5
Cedarville,Village,663,0.459,1444.4
Mechanicsburg,Village,662,1.036,639.0
Mounds,City,661,1.207,547.6
Dongola,Village,661,1.088,607.5
West City,Village,656,1.608,408.0
Saybrook,Village,654,0.802,815.5
Brooklyn,Village,649,0.811,800.2
Golden,Village,648,0.642,1009.3
Coffeen,City,647,1.161,557.3
Yates City,Village,642,0.493,1302.2
Clayton,Village,639,0.884,722.9
Ashmore,Village,637,0.805,791.3
Bartelso,Village,635,0.431,1473.3
Cisne,Village,634,0.63,1006.3
Noble,Village,633,1.017,622.4
Thayer,Village,632,0.61,1036.1
Green Valley,Village,630,0.301,2093.0
Golconda,City,630,0.51,1235.3
Bluford,Village,630,1.561,403.6
St. Libory,Village,628,0.972,646.1
Creston,Village,627,1.146,547.1
Grafton,City,626,3.712,168.6
Crossville,Village,623,0.64,973.4
Alhambra,Village,622,0.756,822.8
Holiday Hills,Village,618,0.934,661.7
Bluffs,Village,618,0.893,692.0
Woodlawn,Village,617,0.852,724.2
Millington,Village,617,0.708,871.5
New Boston,City,613,0.941,651.4
Niantic,Village,612,1.039,589.0
Fairmount,Village,612,0.317,1930.6
Franklin,Village,610,0.829,735.8
Ursa,Village,609,0.69,882.6
Palmyra,Village,605,0.999,605.6
Bedford Park,Village,602,5.934,101.4
Stanford,Village,600,0.662,906.3
Hopkins Park,Village,597,4.137,144.3
Danforth,Village,594,0.478,1242.7
Davis,Village,589,0.405,1454.3
Bismarck,Village,582,0.743,783.3
Irvington,Village,581,1.01,575.2
Willisville,Village,579,0.389,1488.4
Williamsfield,Village,575,1.231,467.1
Vermont,Village,570,1.258,453.1
Blandinsville,Village,569,0.875,650.3
St. Francisville,City,568,0.745,762.4
Murrayville,Village,567,0.496,1143.1
Godley,Village,566,1.083,522.6
Pittsburg,Village,565,2.065,273.6
Damiansville,Village,564,0.822,686.1
Schram City,Village,563,0.674,835.3
Andover,Village,555,0.991,560.0
Valier,Village,554,1.124,492.9
Ava,City,553,1.057,523.2
Augusta,Village,553,0.691,800.3
Crescent City,Village,552,0.456,1210.5
Union,Village,551,0.836,659.1
Pesotum,Village,550,0.569,966.6
Keithsburg,City,550,2.558,215.0
Carlock,Village,548,0.395,1387.3
Makanda,Village,547,5.281,103.6
Evansville,Village,547,0.788,694.2
Tamaroa,Village,544,0.958,567.8
Liberty,Village,543,0.391,1388.7
Farina,Village,540,1.457,370.6
Equality,Village,539,0.877,614.6
Lyndon,Village,537,0.757,709.4
Wilsonville,Village,536,0.956,560.7
Westfield,Village,536,0.978,548.1
Indian Creek,Village,536,0.267,2007.5
Burlington,Village,535,6.855,78.0
Mettawa,Village,533,5.449,97.8
Strasburg,Village,531,0.541,981.5
Junction City,Village,527,0.684,770.5
Chandlerville,Village,527,0.794,663.7
Mound City,City,526,0.675,779.3
Patoka,Village,525,1.115,470.9
St. David,Village,522,0.299,1745.8
Mulberry Grove,Village,520,1.003,518.4
Hoyleton,Village,520,0.76,684.2
Cullom,Village,520,0.335,1552.2
Mark,Village,519,1.065,487.3
Elsah,Village,519,1.092,475.3
Dawson,Village,519,0.792,655.3
Trout Valley,Village,515,0.428,1203.3
Grand Ridge,Village,515,0.462,1114.7
Cowden,Village,515,0.402,1281.1
Golf,Village,514,0.448,1147.3
Wapella,Village,513,0.551,931.0
Iuka,Village,512,0.733,698.5
Shipman,Town,511,1.32,387.1
North City,Village,509,2.171,234.5
Hammond,Village,508,0.757,671.1
Creal Springs,City,505,1.027,491.7
Dahlgren,Village,504,1.017,495.6
Prairie du Rocher,Village,502,0.571,879.2
Dakota,Village,500,0.249,2008.0
Woodson,Village,498,0.394,1264.0
Reynolds,Village,498,0.368,1353.3
Congerville,Village,497,0.963,516.1
Rankin,Village,495,0.579,854.9
Buckley,Village,495,0.316,1566.5
Sidell,Village,489,0.927,527.5
Fithian,Village,488,0.383,1274.2
Thompsonville,Village,486,2.031,239.3
Tower Hill,Village,485,1.005,482.6
Buda,Village,482,1.014,475.3
Chadwick,Village,481,0.311,1546.6
San Jose,Village,479,0.414,1157.0
Grand Tower,City,479,1.248,383.8
Hutsonville,Village,478,0.622,768.5
Oak Grove,Village,476,0.658,723.4
Chapin,Village,475,0.998,476.0
Spring Bay,Village,474,0.683,694.0
Dix,Village,469,2.074,226.1
Lenzburg,Village,468,1.155,405.2
Emden,Village,467,0.235,1987.2
Ullin,Village,466,2.811,165.8
Ohio,Village,465,0.753,617.5
Tovey,Village,464,0.223,2080.7
Bowen,Village,464,0.428,1084.1
Altona,Village,463,0.938,493.6
Ashley,City,462,1.128,409.6
St. Rose[c],Village,459,0.591,776.6
Pierron,Village,459,0.734,625.3
Allendale,Village,458,0.307,1491.9
Sun River Terrace,Village,455,0.573,794.1
Dalton City,Village,454,0.534,850.2
Mount Auburn,Village,452,0.997,453.4
Kaneville,Village,452,0.285,1586.0
Camargo,Village,452,1.259,359.0
Elkhart,Village,450,1.942,231.7
Ipava,Village,447,0.268,1667.9
De Land,Village,447,0.424,1054.2
Buffalo,Village,447,0.345,1295.7
Versailles,Village,446,0.933,478.0
Cornell,Village,446,0.654,682.0
Hoffman,Village,439,0.506,867.6
Norwood,Village,437,0.307,1423.5
Scales Mound,Village,436,0.628,694.3
Plymouth,Village,436,0.565,771.7
Cherry,Village,435,0.514,846.3
Tallula,Village,434,0.531,817.3
German Valley,Village,433,0.478,905.9
Leaf River,Village,432,0.869,497.1
Towanda,Village,431,0.744,579.3
Tamms,Village,430,2.332,184.4
Karnak,Village,430,1.806,238.1
Sorento,Village,429,0.798,537.6
Hecker,Village,429,0.253,1695.7
Beecher City,Village,428,0.895,478.2
Neponset,Village,427,1.016,420.3
Fairview,Village,426,4.215,101.1
Lostant,Village,423,1.122,377.0
Hopewell,Village,421,1.135,370.9
Hillsdale,Village,417,0.648,643.5
Melvin,Village,416,0.346,1202.3
Naplate,Village,412,0.16,2575.0
Benson,Village,412,0.163,2527.6
Monroe Center,Village,411,1.212,339.1
Buckner,Village,409,0.872,469.0
Waltonville,Village,408,1.24,329.0
Prairie City,Village,407,1.008,403.8
Saunemin,Village,406,0.231,1757.6
Keyesport,Village,406,0.72,563.9
Lomax,Village,404,1.189,339.8
Sadorus,Village,402,1.027,391.4
New Haven,Village,399,1.244,320.7
Industry,Village,399,0.46,867.4
Edgewood,Village,398,1.013,392.9
Hull,Village,392,1.825,214.8
East Carondelet,Village,390,1.177,331.4
Bondville,Village,388,0.251,1545.8
Waynesville,Village,381,0.319,1194.4
Xenia,Village,380,0.493,770.8
Sublette,Village,380,0.321,1183.8
Medora,Village,379,0.38,997.4
Varna,Village,375,0.297,1262.6
Bonnie,Village,374,1.275,293.3
Irving,Village,373,0.897,415.8
Joy,Village,372,0.428,869.2
Carbon Hill,Village,372,0.178,2089.9
Weldon,Village,369,0.267,1382.0
Dowell,Village,368,0.39,943.6
Arenzville,Village,367,0.768,477.9
Sparland,Village,366,0.572,639.9
Good Hope,Village,363,0.3,1210.0
Humboldt,Village,361,0.343,1052.5
Cutler,Village,361,0.468,771.4
Herrick,Village,358,0.366,978.1
Belgium,Village,358,0.434,824.9
Loda,Village,356,1.467,242.7
Jeffersonville,Village,355,1.012,350.8
Bay View Gardens,Village,354,0.569,622.1
Table Grove,Village,353,0.282,1251.8
Bonfield,Village,351,0.492,713.4
New Douglas,Village,350,1.048,334.0
London Mills,Village,350,0.684,511.7
Joppa,Village,350,0.486,720.2
Summerfield,Village,347,0.495,701.0
Apple River,Village,347,0.705,492.2
Bellflower,Village,346,0.361,958.4
Roberts,Village,345,0.481,717.3
Secor,Village,342,0.29,1179.3
Grantfork,Village,341,0.337,1011.9
Panama,Village,337,0.365,923.3
New Canton,Town,334,0.881,379.1
Martinton,Village,334,0.274,1219.0
Latham,Village,333,0.273,1219.8
Sigel,Town,329,0.281,1170.8
Middletown,Village,329,0.341,964.8
Ellis Grove,Village,328,0.491,668.0
Orient,City,327,0.745,438.9
Hume,Village,325,0.566,574.2
Greenwood,Village,324,2.632,123.1
Mason,Town,323,1.287,251.0
Flat Rock,Village,323,0.856,377.3
St. Peter,Village,322,0.521,618.0
Seatonville,Village,321,0.496,647.2
Hanaford,Village,320,1.008,317.5
Alto Pass,Village,319,2.134,149.5
Malden,Village,318,0.272,1169.1
Alma,Village,318,1.132,280.9
Coalton,Village,317,0.53,598.1
Broadlands,Village,316,0.322,981.4
Perry,Village,314,0.386,813.5
Baldwin,Village,314,0.666,471.5
Ruma,Village,313,0.742,421.8
Lee,Village,313,0.198,1580.8
Easton,Village,312,0.24,1300.0
Mount Clare,Village,311,1.538,202.2
Kenney,Village,311,0.282,1102.8
Kampsville,Village,310,1.02,303.9
Armington,Village,310,0.285,1087.7
Campbell Hill,Village,309,0.462,668.8
Belle Rive,Village,309,1.026,301.2
Ransom,Village,308,0.999,308.3
Ludlow,Village,308,0.397,775.8
Beaverville,Village,306,0.275,1112.7
Fillmore,Village,305,1.016,300.2
Fayetteville,Village,302,0.296,1020.3
Loraine,Village,300,0.844,355.5
Ewing,Village,300,1.009,297.3
Biggsville,Village,300,0.337,890.2
Manlius,Village,298,0.319,934.2
Kane,Village,296,0.544,544.1
Royal,Village,293,0.183,1601.1
Rock City,Village,293,0.134,2186.6
Virgil,Village,289,2.183,132.4
East Cape Girardeau,Village,289,1.961,147.4
Sibley,Village,288,0.481,598.8
Olmsted,Village,285,3.365,84.7
Raleigh,Village,284,1.976,143.7
Little York,Village,283,0.223,1269.1
Nebo,Village,282,0.434,649.8
Winslow,Village,281,0.458,613.5
Bureau Junction,Village,281,1.446,194.3
Bath,Village,279,0.365,764.4
Millbrook,Village,277,1.846,150.1
Arrowsmith,Village,276,0.197,1401.0
New Holland,Village,275,0.31,887.1
McNabb,Village,275,0.177,1553.7
Hindsboro,Village,275,0.269,1022.3
Elliott,Village,274,0.498,550.2
Compton,Village,274,0.158,1734.2
Brocton,Village,273,0.572,477.3
Plainville,Village,271,0.235,1153.2
Lisbon,Village,271,2.117,128.0
East Gillespie,Village,269,0.319,843.3
Victoria,Village,268,0.451,594.2
Sawyerville,Village,268,0.988,271.3
Freeman Spur,Village,268,0.399,671.7
Kingston Mines,Village,266,1.444,184.2
Henderson,Village,266,0.265,1003.8
Cedar Point,Village,266,1.021,260.5
Manchester,Village,265,1.063,249.3
Kilbourne,Village,265,0.889,298.1
Ivesdale,Village,265,0.716,370.1
Hartsburg,Village,262,0.15,1746.7
Dunfermline,Village,262,0.147,1782.3
Allerton,Village,262,0.679,385.9
Mapleton,Village,261,0.885,294.9
Rutland,Village,259,0.694,373.2
Addieville,Village,259,0.993,260.8
McClure,Village,256,1.528,167.5
Magnolia,Village,256,0.313,817.9
Cisco,Village,254,0.182,1395.6
Donovan,Village,251,0.328,765.2
McCook,Village,249,2.614,95.3
Woodland,Village,248,0.49,506.1
Bellmont,Village,247,0.325,760.0
Buckingham,Village,244,0.251,972.1
Bush,Village,241,0.455,529.7
Ste. Marie,Village,238,1.109,214.6
Richview,Village,238,1.149,207.1
Vergennes,Village,235,0.352,667.6
Kangley,Village,235,0.261,900.4
Oakford,Village,234,0.249,939.8
Gladstone,Village,234,0.36,650.0
Alvin,Village,233,0.793,293.8
Cabery,Village,231,0.344,671.5
Steward,Village,229,0.269,851.3
Kappa,Village,229,0.357,641.5
Cave-In-Rock,Village,228,0.374,609.6
Indianola,Village,227,0.388,585.1
Lerna,Village,226,0.115,1965.2
Troy Grove,Village,225,0.687,327.5
Standard,Village,225,0.711,316.5
Stonefort,Village,224,1.454,154.1
Forest City,Village,222,0.523,424.5
Plattville,Village,220,2.259,97.4
Elizabethtown,Village,220,0.705,312.1
Maquon,Village,218,0.162,1345.7
Gays,Village,218,0.386,564.8
Cypress,Village,217,0.753,288.2
Palmer,Village,216,0.995,217.1
Thawville,Village,215,0.307,700.3
Seaton,Village,214,1.579,135.5
Sammons Point,Village,214,1.851,115.6
Milton,Village,214,0.386,554.4
Curran,Village,213,1.975,107.8
White City,Village,212,1.212,174.9
Bulpitt,Village,212,0.069,3072.5
Menominee,Village,211,1.914,110.2
Montrose,Village,210,0.637,329.7
Henning,Village,210,1.524,137.8
Bardolph,Village,210,0.617,340.4
Rio,Village,209,0.312,669.9
Owaneco,Village,209,0.458,456.3
Omaha,Village,209,0.744,280.9
Verona,Village,208,0.165,1260.6
Thebes,Village,208,1.745,119.2
Buncombe,Village,207,1.187,174.4
Wellington,Village,206,0.238,865.5
Mineral,Village,206,0.553,372.5
Long Point,Village,204,0.185,1102.7
Vermilion,Village,203,0.546,371.8
Clear Lake[b],Village,203,0.092,2206.5
Nilwood,Town,201,0.465,432.3
Reddick,Village,199,0.239,832.6
Oakdale,Village,199,1.582,125.8
Nason,City,199,0.911,218.4
Jewett,Village,196,1.005,195.0
Alsey,Village,195,0.549,355.2
Lake Ka-Ho,Village,194,0.284,683.1
Smithfield,Village,191,0.465,410.8
Kinderhook,Village,189,0.808,233.9
Shumway,Village,188,0.332,566.3
Parkersburg,Village,186,0.826,225.2
Broughton,Village,185,1.89,97.9
Ellsworth,Village,184,0.217,847.9
Williamson,Village,183,1.171,156.3
Radom,Village,183,1.048,174.6
Caledonia,Village,183,1.035,176.8
Modesto,Village,182,0.559,325.6
Waggoner,Village,181,0.244,741.8
Spillertown,Village,181,0.321,563.9
Bone Gap,Village,181,0.583,310.5
Hooppole,Village,180,0.372,483.9
Harvel,Village,178,0.718,247.9
Mill Shoals,Village,176,0.767,229.5
Kempton,Village,176,0.165,1066.7
Fieldon,Village,176,0.202,871.3
Rockbridge,Village,175,0.737,237.4
New Minden,Village,175,0.277,631.8
Du Bois,Village,175,1.052,166.3
Keensburg,Village,174,0.26,669.2
Norris,Village,173,0.283,611.3
Kell,Village,173,1.002,172.7
Gorham,Village,173,1.219,141.9
Willow Hill,Village,172,1.039,165.5
Baylis,Village,172,0.471,365.2
Chesterfield,Village,170,0.541,314.2
Batchtown,Village,170,1.863,91.3
Banner,Village,169,1.29,131.0
Arlington,Village,169,0.395,427.8
Colp,Village,168,0.134,1253.7
Bryant,Village,168,0.248,677.4
Royal Lakes,Village,167,0.466,358.4
Coleta,Village,167,0.37,451.4
Sims,Village,166,1.182,140.4
Calhoun,Village,164,0.912,179.8
Butler,Village,164,0.596,275.2
St. Johns,Village,163,0.725,224.8
Cleveland,Village,163,0.294,554.4
Anchor,Village,163,0.171,953.2
Old Mill Creek,Village,162,10.671,15.2
North Henderson,Village,162,0.226,716.8
Dana,Village,162,0.22,736.4
Claremont,Village,161,0.793,203.0
La Fayette,Village,160,0.189,846.6
Huey,Village,160,0.216,740.7
De Witt,Village,160,0.237,675.1
Muncie,Village,157,0.179,877.1
Cooksville,Village,157,0.217,723.5
Smithboro,Village,154,0.932,165.2
Pulaski,Village,154,1.31,117.6
New Burnside,Village,153,1.045,146.4
Donnellson,Village,153,0.37,413.5
New Grand Chain,Village,150,1.043,143.8
Maeystown,Village,150,0.298,503.4
Concord,Village,150,0.249,602.4
Coatsburg,Village,150,0.132,1136.4
Hettick,Village,149,0.365,408.2
Eldred,Village,149,0.134,1111.9
Campus,Village,149,0.092,1619.6
Lima,Village,148,0.135,1096.3
Elvaston,Village,147,0.799,184.0
Cantrall,Village,144,0.25,576.0
Sauget,Village,141,4.581,30.8
Oconee,Village,141,0.356,396.1
Berlin,Village,141,0.891,158.2
West Point,Village,140,0.168,833.3
Metcalf,Village,139,0.594,234.0
Littleton,Village,139,1.168,119.0
Browns,Village,139,0.29,479.3
Redmon,Village,137,0.145,944.8
Broadwell,Village,136,0.18,755.6
Standard City,Village,135,0.636,212.3
Dover,Village,135,0.28,482.1
Papineau,Village,133,0.208,639.4
Iroquois,Village,133,0.567,234.6
Dorchester,Village,133,0.722,184.2
Allenville,Village,132,0.609,216.7
West Brooklyn,Village,131,0.085,1541.2
Symerton,Village,128,0.157,815.3
Nelson,Village,127,0.216,588.0
Ferris,Village,127,1.967,64.6
Ridott,Village,124,0.074,1675.7
Garrett,Village,122,0.108,1129.6
Venedy,Village,121,0.281,430.6
New Salem,Village,121,1.049,115.3
Media,Village,121,1.698,71.3
Leonore,Village,121,0.089,1359.6
St. Augustine,Village,119,0.593,200.7
Mound Station,Village,117,0.519,225.4
Browning,Village,117,0.31,377.4
Brussels,Village,116,0.558,207.9
Eagarville,Village,114,0.911,125.1
Columbus,Village,114,0.219,520.5
Old Shawneetown,Village,113,0.51,221.6
Glasgow,Village,113,1.011,111.8
Bishop Hill,Village,113,0.532,212.4
Longview,Village,112,0.247,453.4
Hidalgo,Village,111,0.344,322.7
Harmon,Village,111,0.149,745.0
Ohlman,Village,109,0.322,338.5
Stoy,Village,108,0.932,115.9
Nora,Village,107,0.83,128.9
Vernon,Village,103,0.882,116.8
Pearl,Village,103,1.505,68.4
Raritan,Village,102,0.095,1073.7
Jeisyville,Village,102,0.122,836.1
Tennessee,Village,101,0.425,237.6
Strawn,Village,101,0.51,198.0
Springerton,Village,101,0.126,801.6
Marietta,Village,101,0.273,370.0
Emington,Village,101,0.083,1216.9
Naples,Town,100,0.605,165.3
Pontoosuc,Village,99,1.406,70.4
Hamburg,Village,99,0.522,189.7
Eddyville,Village,99,0.281,352.3
Russellville,Village,98,0.4,245.0
Mount Erie,Village,98,0.384,255.2
La Rose,Village,98,0.255,384.3
Iola,Village,98,0.964,101.7
Wheeler,Village,96,0.576,166.7
Lynnville,Village,96,0.077,1246.8
Fidelity,Village,96,0.101,950.5
Walnut Hill,Village,95,0.38,250.0
Liverpool,Village,94,0.084,1119.0
Hillview,Village,94,0.816,115.2
Scottville,Village,93,0.997,93.3
Wilmington,Village,91,0.786,115.8
Maunie,Village,91,0.159,572.3
Kinsman,Village,90,0.068,1323.5
Sailor Springs,Village,89,0.26,342.3
Rose Hill,Village,89,0.634,140.4
Belknap,Village,88,1.057,83.3
Otterville,Town,87,1.006,86.5
Exeter,Village,87,0.69,126.1
Ellisville,Village,87,0.271,321.0
Old Ripley,Village,82,0.154,532.5
East Brooklyn,Village,80,0.052,1538.5
Basco,Village,80,0.222,360.4
Adeline,Village,78,0.266,293.2
New Bedford,Village,76,0.155,490.3
Detroit,Village,76,0.251,302.8
Foosland,Village,75,0.069,1087.0
Johnsonville,Village,72,0.213,338.0
Irwin,Village,68,0.045,1511.1
Yale,Village,67,0.575,116.5
Golden Gate,Village,65,0.079,822.8
El Dara,Village,63,1.011,62.3
Camden,Village,62,0.761,81.5
Walshville,Village,61,0.257,237.4
Muddy,Village,61,0.303,201.3
Topeka,Village,60,0.137,438.0
Bingham,Village,60,0.274,219.0
Mill Creek,Village,59,0.376,156.9
Junction,Village,56,0.826,67.8
Union Hill,Village,55,0.046,1195.7
Ripley,Village,53,0.379,139.8
Keenes,Village,50,0.13,384.6
Belle Prairie City,Town,49,0.438,111.9
Panola,Village,47,0.429,109.6
Simpson,Village,44,0.525,83.8
La Prairie,Village,42,0.193,217.6
Gulfport,Village,42,1.412,29.7
Sciota,Village,38,0.312,121.8
Deer Grove,Village,38,0.411,92.5
Hollowayville,Village,36,0.049,734.7
Burnt Prairie,Village,36,0.076,473.7
Phillipstown,Village,34,0.27,125.9
Wenonah,Village,32,1.514,21.1
Rockwood,Village,32,0.212,150.9
Macedonia,Village,30,0.266,112.8
Bentley,Town,30,0.143,209.8
Fults,Village,28,0.053,528.3
Time,Village,26,0.254,102.4
Kaskaskia,Village,21,0.106,198.1
Florence,Village,17,0.276,61.6
Valley City,Village,14,0.27,51.9
,,,,nan
,,,,nan
